ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
34,25,12,3,4,118,10,10,37,"236,629",93,0,1,0,0,0,0,83,172,28,8
1,25,12,5,4,235,11,14,37,"236,629",93,0,3,1,0,0,1,88,172,29,2
3,28,12,6,4,179,51,18,38,"236,629",93,0,1,0,1,0,0,89,170,31,1
5,13,12,3,2,235,20,13,43,"236,629",93,0,1,1,1,0,0,106,167,38,8
1,14,12,3,2,235,11,14,37,"236,629",93,0,3,1,0,0,1,88,172,29,4
20,26,12,4,2,260,50,11,36,"236,629",93,0,1,4,1,0,0,65,168,23,8
30,28,12,2,2,157,27,6,29,"236,629",93,0,1,0,1,1,0,75,185,22,2
3,28,12,2,2,179,51,18,38,"236,629",93,0,1,0,1,0,0,89,170,31,3
11,19,12,2,2,289,36,13,33,"236,629",93,0,1,2,1,0,1,90,172,30,8
28,23,1,4,2,225,26,9,28,"330,061",100,0,1,1,0,0,2,69,169,24,5
34,19,1,2,2,118,10,10,37,"330,061",100,0,1,0,0,0,0,83,172,28,32
14,23,1,2,2,155,12,14,34,"330,061",100,0,1,2,1,0,0,95,196,25,2
1,13,1,3,2,235,11,14,37,"330,061",100,0,3,1,0,0,1,88,172,29,1
14,23,1,3,2,155,12,14,34,"330,061",100,0,1,2,1,0,0,95,196,25,4
11,26,1,2,2,289,36,13,33,"330,061",100,0,1,2,1,0,1,90,172,30,8
15,3,1,4,2,291,31,12,40,"330,061",100,0,1,1,1,0,1,73,171,25,8
5,26,1,2,2,235,20,13,43,"330,061",100,0,1,1,1,0,0,106,167,38,8
36,26,1,2,2,118,13,18,50,"330,061",100,0,1,1,1,0,0,98,178,31,4
3,28,1,4,2,179,51,18,38,"330,061",100,0,1,0,1,0,0,89,170,31,1
3,28,1,6,2,179,51,18,38,"330,061",100,0,1,0,1,0,0,89,170,31,1
34,28,2,3,2,118,10,10,37,"251,818",96,0,1,0,0,0,0,83,172,28,2
3,27,2,4,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
28,7,2,4,2,225,26,9,28,"251,818",96,0,1,1,0,0,2,69,169,24,1
11,22,2,6,2,289,36,13,33,"251,818",96,0,1,2,1,0,1,90,172,30,3
20,28,2,6,2,260,50,11,36,"251,818",96,0,1,4,1,0,0,65,168,23,3
3,23,2,6,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
3,27,2,2,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,2
3,27,2,4,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
3,10,2,5,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,8
24,26,2,5,2,246,25,16,41,"251,818",96,0,1,0,1,0,0,67,170,23,8
3,27,2,6,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
6,22,2,2,2,189,29,13,33,"251,818",96,0,1,2,0,0,2,69,167,25,8
3,27,2,2,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
24,23,2,3,2,246,25,16,41,"251,818",96,0,1,0,1,0,0,67,170,23,2
15,23,2,3,2,291,31,12,40,"251,818",96,0,1,1,1,0,1,73,171,25,2
30,11,2,4,2,157,27,6,29,"251,818",96,0,1,0,1,1,0,75,185,22,16
3,27,2,4,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
3,27,2,6,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
24,10,2,6,2,246,25,16,41,"251,818",96,0,1,0,1,0,0,67,170,23,24
3,27,2,4,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
3,27,2,6,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,3
34,18,3,3,2,118,10,10,37,"244,387",98,0,1,0,0,0,0,83,172,28,8
24,19,3,4,2,246,25,16,41,"244,387",98,0,1,0,1,0,0,67,170,23,16
24,28,3,6,2,246,25,16,41,"244,387",98,0,1,0,1,0,0,67,170,23,2
20,28,3,6,2,260,50,11,36,"244,387",98,0,1,4,1,0,0,65,168,23,4
3,28,3,2,2,179,51,18,38,"244,387",98,0,1,0,1,0,0,89,170,31,2
1,22,3,2,2,235,11,14,37,"244,387",98,0,3,1,0,0,1,88,172,29,8
17,22,3,3,2,179,22,17,40,"244,387",98,0,2,2,0,1,0,63,170,22,8
23,22,3,3,2,378,49,11,36,"244,387",98,0,1,2,0,1,4,65,174,21,8
3,28,3,2,2,179,51,18,38,"244,387",98,0,1,0,1,0,0,89,170,31,16
10,22,3,4,2,361,52,3,28,"244,387",98,0,1,1,1,0,4,80,172,27,8
13,0,3,4,2,369,17,12,31,"244,387",98,1,1,3,1,0,0,70,169,25,0
1,21,3,5,2,235,11,14,37,"244,387",98,0,3,1,0,0,1,88,172,29,8
36,23,3,6,3,118,13,18,50,"244,387",98,0,1,1,1,0,0,98,178,31,2
36,14,3,3,3,118,13,18,50,"244,387",98,0,1,1,1,0,0,98,178,31,3
36,13,3,4,3,118,13,18,50,"244,387",98,0,1,1,1,0,0,98,178,31,8
1,0,3,5,3,235,11,14,37,"244,387",98,1,3,1,0,0,1,88,172,29,0
24,0,3,5,3,246,25,16,41,"244,387",98,1,1,0,1,0,0,67,170,23,0
36,0,3,5,3,118,13,18,50,"244,387",98,1,1,1,1,0,0,98,178,31,0
3,28,3,6,3,179,51,18,38,"244,387",98,0,1,0,1,0,0,89,170,31,8
11,22,3,6,3,289,36,13,33,"244,387",98,0,1,2,1,0,1,90,172,30,8
20,19,3,2,3,260,50,11,36,"244,387",98,0,1,4,1,0,0,65,168,23,8
24,28,3,3,3,246,25,16,41,"244,387",98,0,1,0,1,0,0,67,170,23,2
3,28,4,4,3,179,51,18,38,"239,409",98,0,1,0,1,0,0,89,170,31,4
20,28,4,6,3,260,50,11,36,"239,409",98,0,1,4,1,0,0,65,168,23,3
18,26,4,6,3,330,16,4,28,"239,409",98,0,2,0,0,0,0,84,182,25,4
13,22,4,2,3,369,17,12,31,"239,409",98,0,1,3,1,0,0,70,169,25,4
33,26,4,2,3,248,25,14,47,"239,409",98,0,1,2,0,0,1,86,165,32,4
18,23,4,4,3,330,16,4,28,"239,409",98,0,2,0,0,0,0,84,182,25,8
3,28,4,4,3,179,51,18,38,"239,409",98,0,1,0,1,0,0,89,170,31,8
36,23,4,2,3,118,13,18,50,"239,409",98,0,1,1,1,0,0,98,178,31,1
36,13,4,4,3,118,13,18,50,"239,409",98,0,1,1,1,0,0,98,178,31,120
26,28,4,6,3,300,26,13,43,"239,409",98,0,1,2,1,1,1,77,175,25,8
20,28,4,6,3,260,50,11,36,"239,409",98,0,1,4,1,0,0,65,168,23,4
3,28,4,2,3,179,51,18,38,"239,409",98,0,1,0,1,0,0,89,170,31,4
34,11,4,4,3,118,10,10,37,"239,409",98,0,1,0,0,0,0,83,172,28,2
5,13,5,2,3,235,20,13,43,"246,074",99,0,1,1,1,0,0,106,167,38,16
33,23,5,4,3,248,25,14,47,"246,074",99,0,1,2,0,0,1,86,165,32,2
13,10,5,2,3,369,17,12,31,"246,074",99,0,1,3,1,0,0,70,169,25,8
22,23,5,4,3,179,26,9,30,"246,074",99,0,3,0,0,0,0,56,171,19,3
3,28,5,4,3,179,51,18,38,"246,074",99,0,1,0,1,0,0,89,170,31,4
10,23,5,5,3,361,52,3,28,"246,074",99,0,1,1,1,0,4,80,172,27,1
20,28,5,6,3,260,50,11,36,"246,074",99,0,1,4,1,0,0,65,168,23,3
17,11,5,2,3,179,22,17,40,"246,074",99,0,2,2,0,1,0,63,170,22,2
17,8,5,2,3,179,22,17,40,"246,074",99,0,2,2,0,1,0,63,170,22,3
9,18,5,4,3,228,14,16,58,"246,074",99,0,1,2,0,0,1,65,172,22,8
28,25,5,4,3,225,26,9,28,"246,074",99,0,1,1,0,0,2,69,169,24,3
18,13,5,6,3,330,16,4,28,"246,074",99,0,2,0,0,0,0,84,182,25,8
22,25,5,2,3,179,26,9,30,"246,074",99,0,3,0,0,0,0,56,171,19,2
34,28,5,2,3,118,10,10,37,"246,074",99,0,1,0,0,0,0,83,172,28,1
1,1,5,2,3,235,11,14,37,"246,074",99,0,3,1,0,0,1,88,172,29,8
22,23,5,4,3,179,26,9,30,"246,074",99,0,3,0,0,0,0,56,171,19,3
34,23,6,2,3,118,10,10,37,"253,957",95,0,1,0,0,0,0,83,172,28,3
3,28,6,2,3,179,51,18,38,"253,957",95,0,1,0,1,0,0,89,170,31,3
34,28,6,3,3,118,10,10,37,"253,957",95,0,1,0,0,0,0,83,172,28,2
28,23,6,5,3,225,26,9,28,"253,957",95,0,1,1,0,0,2,69,169,24,4
20,28,6,6,3,260,50,11,36,"253,957",95,0,1,4,1,0,0,65,168,23,4
3,0,6,6,3,179,51,18,38,"253,957",95,1,1,0,1,0,0,89,170,31,0
15,13,6,2,3,291,31,12,40,"253,957",95,0,1,1,1,0,1,73,171,25,40
3,28,6,2,3,179,51,18,38,"253,957",95,0,1,0,1,0,0,89,170,31,24
24,28,6,3,3,246,25,16,41,"253,957",95,0,1,0,1,0,0,67,170,23,3
3,28,6,2,3,179,51,18,38,"253,957",95,0,1,0,1,0,0,89,170,31,4
5,26,6,3,3,235,20,13,43,"253,957",95,0,1,1,1,0,0,106,167,38,8
3,28,6,2,1,179,51,18,38,"253,957",95,0,1,0,1,0,0,89,170,31,2
28,23,6,4,1,225,26,9,28,"253,957",95,0,1,1,0,0,2,69,169,24,2
36,23,6,4,1,118,13,18,50,"253,957",95,0,1,1,1,0,0,98,178,31,2
3,5,6,4,1,179,51,18,38,"253,957",95,0,1,0,1,0,0,89,170,31,8
22,21,6,4,1,179,26,9,30,"253,957",95,0,3,0,0,0,0,56,171,19,2
24,28,6,6,1,246,25,16,41,"253,957",95,0,1,0,1,0,0,67,170,23,2
18,11,6,3,1,330,16,4,28,"253,957",95,0,2,0,0,0,0,84,182,25,1
1,13,6,3,1,235,11,14,37,"253,957",95,0,3,1,0,0,1,88,172,29,8
22,23,7,5,1,179,26,9,30,"230,290",92,0,3,0,0,0,0,56,171,19,2
28,25,7,5,1,225,26,9,28,"230,290",92,0,1,1,0,0,2,69,169,24,4
20,13,7,6,1,260,50,11,36,"230,290",92,0,1,4,1,0,0,65,168,23,8
21,7,7,2,1,268,11,8,33,"230,290",92,0,2,0,0,0,0,79,178,25,8
18,25,7,6,1,330,16,4,28,"230,290",92,0,2,0,0,0,0,84,182,25,8
34,26,7,6,1,118,10,10,37,"230,290",92,0,1,0,0,0,0,83,172,28,8
20,26,7,2,1,260,50,11,36,"230,290",92,0,1,4,1,0,0,65,168,23,4
34,28,7,3,1,118,10,10,37,"230,290",92,0,1,0,0,0,0,83,172,28,8
26,15,7,2,1,300,26,13,43,"230,290",92,0,1,2,1,1,1,77,175,25,8
2,23,7,2,1,235,29,12,48,"230,290",92,0,1,1,0,1,5,88,163,33,1
24,28,7,3,1,246,25,16,41,"230,290",92,0,1,0,1,0,0,67,170,23,2
28,9,7,3,1,225,26,9,28,"230,290",92,0,1,1,0,0,2,69,169,24,112
3,28,7,3,1,179,51,18,38,"230,290",92,0,1,0,1,0,0,89,170,31,1
36,23,7,6,1,118,13,18,50,"230,290",92,0,1,1,1,0,0,98,178,31,1
10,22,7,6,1,361,52,3,28,"230,290",92,0,1,1,1,0,4,80,172,27,8
11,22,7,2,1,289,36,13,33,"230,290",92,0,1,2,1,0,1,90,172,30,8
5,26,7,2,1,235,20,13,43,"230,290",92,0,1,1,1,0,0,106,167,38,8
24,28,7,3,1,246,25,16,41,"230,290",92,0,1,0,1,0,0,67,170,23,2
15,28,7,5,1,291,31,12,40,"230,290",92,0,1,1,1,0,1,73,171,25,1
7,23,7,5,1,279,5,14,39,"230,290",92,0,1,2,1,1,0,68,168,24,2
3,25,8,5,1,179,51,18,38,"249,797",93,0,1,0,1,0,0,89,170,31,4
17,25,8,2,1,179,22,17,40,"249,797",93,0,2,2,0,1,0,63,170,22,1
24,28,8,3,1,246,25,16,41,"249,797",93,0,1,0,1,0,0,67,170,23,4
34,28,8,3,1,118,10,10,37,"249,797",93,0,1,0,0,0,0,83,172,28,4
11,26,8,3,1,289,36,13,33,"249,797",93,0,1,2,1,0,1,90,172,30,8
5,26,8,3,1,235,20,13,43,"249,797",93,0,1,1,1,0,0,106,167,38,8
15,28,8,5,1,291,31,12,40,"249,797",93,0,1,1,1,0,1,73,171,25,4
3,25,8,2,1,179,51,18,38,"249,797",93,0,1,0,1,0,0,89,170,31,4
17,25,8,3,1,179,22,17,40,"249,797",93,0,2,2,0,1,0,63,170,22,8
18,23,8,5,1,330,16,4,28,"249,797",93,0,2,0,0,0,0,84,182,25,16
1,23,8,3,1,235,11,14,37,"249,797",93,0,3,1,0,0,1,88,172,29,4
24,28,8,3,1,246,25,16,41,"249,797",93,0,1,0,1,0,0,67,170,23,1
34,28,8,3,1,118,10,10,37,"249,797",93,0,1,0,0,0,0,83,172,28,5
15,28,8,5,1,291,31,12,40,"249,797",93,0,1,1,1,0,1,73,171,25,2
20,28,8,2,1,260,50,11,36,"249,797",93,0,1,4,1,0,0,65,168,23,3
24,28,9,3,1,246,25,16,41,"261,756",87,0,1,0,1,0,0,67,170,23,1
24,28,9,3,1,246,25,16,41,"261,756",87,0,1,0,1,0,0,67,170,23,1
34,28,9,3,1,118,10,10,37,"261,756",87,0,1,0,0,0,0,83,172,28,3
14,23,9,3,1,155,12,14,34,"261,756",87,0,1,2,1,0,0,95,196,25,2
15,28,9,5,1,291,31,12,40,"261,756",87,0,1,1,1,0,1,73,171,25,2
22,23,9,6,1,179,26,9,30,"261,756",87,0,3,0,0,0,0,56,171,19,8
33,23,9,6,1,248,25,14,47,"261,756",87,0,1,2,0,0,1,86,165,32,1
3,23,9,2,1,179,51,18,38,"261,756",87,0,1,0,1,0,0,89,170,31,4
28,23,9,4,1,225,26,9,28,"261,756",87,0,1,1,0,0,2,69,169,24,1
22,23,9,2,1,179,26,9,30,"261,756",87,0,3,0,0,0,0,56,171,19,2
13,23,9,3,4,369,17,12,31,"261,756",87,0,1,3,1,0,0,70,169,25,8
10,22,9,3,4,361,52,3,28,"261,756",87,0,1,1,1,0,4,80,172,27,8
32,4,10,5,4,289,48,29,49,"284,853",91,0,1,0,0,0,2,108,172,36,1
25,11,10,5,4,235,16,8,32,"284,853",91,0,3,0,0,0,0,75,178,25,3
24,26,10,6,4,246,25,16,41,"284,853",91,0,1,0,1,0,0,67,170,23,8
32,14,10,4,4,289,48,29,49,"284,853",91,0,1,0,0,0,2,108,172,36,3
15,28,10,4,4,291,31,12,40,"284,853",91,0,1,1,1,0,1,73,171,25,2
34,23,10,3,4,118,10,10,37,"284,853",91,0,1,0,0,0,0,83,172,28,2
32,23,10,5,4,289,48,29,49,"284,853",91,0,1,0,0,0,2,108,172,36,2
15,23,10,6,4,291,31,12,40,"284,853",91,0,1,1,1,0,1,73,171,25,1
