ID,City,City_Development_Index,Gender,Education,Major,Experience,Company_Size,Company_Type,Previous_Job,Training_Hours,Target
8949,City_No_103,0.92,Male,Graduate,STEM,>20,,,1,36,1
29725,City_No_40,0.7759999999999999,Male,Graduate,STEM,15,50-99,Pvt Ltd,>4,47,0
11561,City_No_21,0.624,,Graduate,STEM,5,,,never,83,0
33241,City_No_115,0.789,,Graduate,Business Degree,<1,,Pvt Ltd,never,52,1
666,City_No_162,0.767,Male,Masters,STEM,>20,50-99,Funded Startup,4,8,0
21651,City_No_176,0.764,,Graduate,STEM,11,,,1,24,1
28806,City_No_160,0.92,Male,High School,,5,50-99,Funded Startup,1,24,0
402,City_No_46,0.762,Male,Graduate,STEM,13,<10,Pvt Ltd,>4,18,1
27107,City_No_103,0.92,Male,Graduate,STEM,7,50-99,Pvt Ltd,1,46,1
699,City_No_103,0.92,,Graduate,STEM,17,10000+,Pvt Ltd,>4,123,0
29452,City_No_21,0.624,,High School,,2,,,never,32,1
23853,City_No_103,0.92,Male,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,0
25619,City_No_61,0.913,Male,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,0
5826,City_No_21,0.624,Male,,,2,,,never,24,0
8722,City_No_21,0.624,,High School,,5,,,never,26,0
6588,City_No_114,0.926,Male,Graduate,STEM,16,10/49,Pvt Ltd,>4,18,0
4167,City_No_103,0.92,,Graduate,STEM,1,50-99,Pvt Ltd,never,106,0
5764,City_No_21,0.624,,Graduate,STEM,2,5000-9999,Pvt Ltd,2,7,0
2156,City_No_21,0.624,,Graduate,STEM,7,10000+,Pvt Ltd,never,23,1
11399,City_No_13,0.8270000000000001,Female,Graduate,Arts,4,,,1,132,1
31972,City_No_159,0.843,Male,Masters,STEM,11,100-500,Pvt Ltd,1,68,0
19061,City_No_114,0.926,Male,Masters,STEM,11,100-500,Pvt Ltd,2,50,0
6491,City_No_102,0.804,,Masters,STEM,10,,,1,48,0
7041,City_No_40,0.7759999999999999,Male,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65,0
22767,City_No_21,0.624,,Graduate,STEM,5,1000-4999,Pvt Ltd,1,13,0
14505,City_No_67,0.855,,High School,,4,,,never,22,0
17139,City_No_21,0.624,,Graduate,STEM,14,500-999,Pvt Ltd,1,148,1
28476,City_No_103,0.92,Male,Graduate,Arts,5,,,2,72,0
21538,City_No_100,0.887,Male,High School,,11,<10,Pvt Ltd,1,8,1
10408,City_No_21,0.624,Male,Graduate,STEM,18,50-99,Funded Startup,2,68,1
14928,City_No_103,0.92,Male,Graduate,STEM,>20,100-500,Pvt Ltd,3,40,0
22293,City_No_103,0.92,Male,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,0
4324,City_No_103,0.92,Female,Graduate,STEM,5,,,1,24,0
26966,City_No_160,0.92,Female,Graduate,STEM,>20,100-500,Pvt Ltd,>4,82,0
26494,City_No_16,0.91,Male,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,0
4866,City_No_103,0.92,Male,Graduate,STEM,10,10/49,Early Stage Startup,2,206,0
12726,City_No_114,0.926,Male,High School,,1,10000+,Other,1,152,0
10164,City_No_114,0.926,Male,Phd,STEM,>20,100-500,Pvt Ltd,4,42,1
8612,City_No_103,0.92,,Graduate,STEM,12,,,4,50,0
24659,City_No_71,0.884,Male,,,3,,,never,106,0
2547,City_No_114,0.926,Female,Masters,STEM,16,1000-4999,Public Sector,2,14,0
13854,City_No_104,0.924,Male,High School,,4,10/49,Pvt Ltd,2,36,0
31654,City_No_21,0.624,,Masters,STEM,6,50-99,Early Stage Startup,1,112,1
13643,City_No_64,0.6659999999999999,,Graduate,No Major,9,50-99,Pvt Ltd,never,108,0
5590,City_No_21,0.624,Male,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,1
22452,City_No_21,0.624,Female,Masters,STEM,5,,,never,26,1
9006,City_No_21,0.624,Male,Graduate,STEM,5,100-500,Pvt Ltd,never,87,1
25987,City_No_103,0.92,Other,Graduate,STEM,19,10000+,Public Sector,4,52,1
4476,City_No_101,0.5579999999999999,Male,Graduate,No Major,15,,,>4,20,1
25103,City_No_83,0.923,Male,Graduate,STEM,11,10/49,Pvt Ltd,1,21,0
5568,City_No_101,0.5579999999999999,Male,Graduate,STEM,4,,,1,92,1
2195,City_No_64,0.6659999999999999,Male,Graduate,STEM,10,100-500,Pvt Ltd,2,102,0
30533,City_No_105,0.794,Male,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,0
28512,City_No_104,0.924,,Masters,STEM,3,<10,Early Stage Startup,2,7,0
1023,City_No_114,0.926,Male,High School,,4,10000+,Pvt Ltd,1,43,0
12253,City_No_104,0.924,Male,Graduate,STEM,>20,100-500,Pvt Ltd,1,45,0
25296,City_No_73,0.754,Male,Graduate,STEM,2,50-99,Early Stage Startup,2,52,0
13238,City_No_103,0.92,Male,Graduate,STEM,>20,,,2,19,0
13478,City_No_21,0.624,,Graduate,STEM,2,10/49,Funded Startup,,32,1
18578,City_No_162,0.767,Male,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,26,1
29975,City_No_67,0.855,Male,Graduate,STEM,6,,,1,90,0
26516,City_No_75,0.939,Male,Graduate,STEM,6,100-500,Pvt Ltd,3,25,0
24690,City_No_41,0.8270000000000001,,Masters,STEM,13,<10,,1,15,0
8433,City_No_100,0.887,Male,Masters,Humanities,>20,100-500,Pvt Ltd,>4,48,0
9572,City_No_11,0.55,,High School,,3,,,,98,0
5878,City_No_93,0.865,Male,Graduate,STEM,10,50-99,Pvt Ltd,2,142,1
25695,City_No_67,0.855,Other,Masters,Humanities,4,10000+,Pvt Ltd,4,13,0
9645,City_No_16,0.91,Male,Graduate,STEM,15,,,>4,47,0
12730,City_No_16,0.91,Female,Masters,Humanities,14,500-999,Public Sector,1,28,0
4830,City_No_90,0.698,,,,2,,Pvt Ltd,never,228,1
20970,City_No_64,0.6659999999999999,Male,Graduate,STEM,>20,,,4,22,0
17271,City_No_21,0.624,Male,Graduate,STEM,<1,,,never,18,1
12731,City_No_13,0.8270000000000001,Male,Graduate,STEM,2,10/49,Pvt Ltd,1,29,0
10908,City_No_67,0.855,Male,Masters,STEM,5,100-500,,1,46,0
29117,City_No_11,0.55,,Graduate,STEM,<1,,,never,12,0
3686,City_No_103,0.92,,Graduate,STEM,5,100-500,Pvt Ltd,2,17,0
22683,City_No_36,0.893,Male,Masters,STEM,5,50-99,Pvt Ltd,2,65,0
22134,City_No_103,0.92,Male,Graduate,Humanities,3,100-500,Pvt Ltd,1,35,0
31765,City_No_67,0.855,Male,Graduate,STEM,9,10000+,Pvt Ltd,3,14,0
31449,City_No_103,0.92,Female,Masters,STEM,2,<10,Early Stage Startup,1,4,0
5987,City_No_103,0.92,Male,Graduate,STEM,15,50-99,Pvt Ltd,>4,12,0
21762,City_No_160,0.92,Male,Graduate,STEM,>20,50-99,Pvt Ltd,2,108,0
22070,City_No_103,0.92,Male,Graduate,STEM,>20,,,1,136,0
25413,City_No_103,0.92,Male,Graduate,STEM,5,10/49,,1,27,0
5902,City_No_20,0.7959999999999999,,Masters,STEM,4,50-99,Funded Startup,1,74,0
28403,City_No_71,0.884,Male,Graduate,STEM,15,10/49,Early Stage Startup,1,86,0
30937,City_No_57,0.866,Female,Graduate,STEM,<1,10/49,Pvt Ltd,2,83,0
28751,City_No_103,0.92,,High School,,4,,,3,75,0
29290,City_No_152,0.698,Male,Masters,STEM,11,,Public Sector,2,42,0
32401,City_No_103,0.92,Female,Graduate,STEM,6,100-500,,1,332,0
19128,City_No_61,0.913,Male,Graduate,STEM,4,,,,140,0
29036,City_No_16,0.91,Male,High School,,3,,,never,182,0
16869,City_No_103,0.92,Female,Graduate,Humanities,3,100-500,Pvt Ltd,1,13,1
10497,City_No_19,0.682,,Graduate,STEM,5,10/49,Pvt Ltd,2,172,1
18099,City_No_103,0.92,,Graduate,STEM,10,100-500,NGO,1,48,0
12081,City_No_65,0.802,Male,Graduate,STEM,9,50-99,Pvt Ltd,1,33,0
7364,City_No_160,0.92,,High School,,2,100-500,Pvt Ltd,1,142,0
11184,City_No_74,0.579,,Graduate,STEM,2,100-500,Pvt Ltd,1,34,0
7016,City_No_65,0.802,Male,Graduate,STEM,6,50-99,Pvt Ltd,2,14,1
8695,City_No_11,0.55,Male,Graduate,STEM,6,10/49,Pvt Ltd,2,27,1
6172,City_No_11,0.55,Male,Graduate,STEM,8,100-500,Pvt Ltd,1,24,1
14672,City_No_173,0.878,,Masters,STEM,>20,,,1,150,0
18257,City_No_103,0.92,Female,Graduate,STEM,11,500-999,NGO,>4,20,0
24493,City_No_103,0.92,,Graduate,STEM,5,500-999,,1,140,0
1180,City_No_16,0.91,Male,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,0
28627,City_No_75,0.939,Male,Graduate,STEM,>20,50-99,Pvt Ltd,2,160,0
8168,City_No_136,0.897,Male,Masters,STEM,9,5000-9999,Pvt Ltd,2,3,0
10473,City_No_21,0.624,Male,Graduate,STEM,2,<10,Pvt Ltd,2,2,1
25349,City_No_16,0.91,Male,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,0
5220,City_No_73,0.754,Male,Graduate,Other,>20,,,4,46,0
4789,City_No_67,0.855,Male,Graduate,STEM,8,50-99,Pvt Ltd,1,210,0
11338,City_No_114,0.926,Male,Graduate,STEM,10,<10,Pvt Ltd,1,36,0
27963,City_No_98,0.949,Male,Graduate,STEM,4,,,1,160,1
